date,year,month,total,anthro,nat,co2,wmghg,aero,o3Tr,o3St,luc,solar,volc
1754.75,1754,10,-0.5606,-0.0289,-0.5316,-0.03,0.0111,-0.01,0,0,0,-0.0473,-0.4843
1754.83,1754,11,-0.6162,-0.0289,-0.5873,-0.03,0.0111,-0.01,0,0,0,-0.0482,-0.5391
1754.92,1754,12,-0.6718,-0.0289,-0.6429,-0.03,0.0111,-0.01,0,0,0,-0.049,-0.5939
1755,1755,1,-0.7275,-0.0289,-0.6986,-0.03,0.0111,-0.01,0,0,0,-0.0498,-0.6488
1755.08,1755,2,-0.6953,-0.0289,-0.6664,-0.03,0.0111,-0.01,0,0,0,-0.05,-0.6164
1755.17,1755,3,-0.6405,-0.0289,-0.6116,-0.03,0.0111,-0.01,0,0,0,-0.05,-0.5616
1755.25,1755,4,-0.5857,-0.0289,-0.5568,-0.03,0.0111,-0.01,0,0,0,-0.05,-0.5068
1755.33,1755,5,-0.5309,-0.0289,-0.502,-0.03,0.0111,-0.01,0,0,0,-0.05,-0.452
1755.42,1755,6,-0.4761,-0.0289,-0.4472,-0.03,0.0111,-0.01,0,0,0,-0.05,-0.3972
1755.5,1755,7,-0.4213,-0.0289,-0.3924,-0.03,0.0111,-0.01,0,0,0,-0.05,-0.3424
1755.58,1755,8,-0.3665,-0.0289,-0.3376,-0.03,0.0111,-0.01,0,0,0,-0.05,-0.2876
1755.67,1755,9,-0.3116,-0.0289,-0.2827,-0.03,0.0111,-0.01,0,0,0,-0.05,-0.2327
1755.75,1755,10,-0.2568,-0.0289,-0.2279,-0.03,0.0111,-0.01,0,0,0,-0.05,-0.1779
1755.83,1755,11,-0.202,-0.0289,-0.1731,-0.03,0.0111,-0.01,0,0,0,-0.05,-0.1231
1755.92,1755,12,-0.1472,-0.0289,-0.1183,-0.03,0.0111,-0.01,0,0,0,-0.05,-0.0683
1756,1756,1,-0.0924,-0.0289,-0.0635,-0.03,0.0111,-0.01,0,0,0,-0.05,-0.0135
1756.08,1756,2,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1756.17,1756,3,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1756.25,1756,4,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1756.33,1756,5,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1756.42,1756,6,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1756.5,1756,7,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1756.58,1756,8,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1756.67,1756,9,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1756.75,1756,10,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1756.83,1756,11,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1756.92,1756,12,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1757,1757,1,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1757.08,1757,2,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1757.17,1757,3,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1757.25,1757,4,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1757.33,1757,5,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1757.42,1757,6,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1757.5,1757,7,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1757.58,1757,8,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1757.67,1757,9,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1757.75,1757,10,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1757.83,1757,11,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1757.92,1757,12,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1758,1758,1,-0.0789,-0.0289,-0.05,-0.03,0.0111,-0.01,0,0,0,-0.05,0
1758.08,1758,2,-0.0822,-0.0295,-0.0528,-0.03,0.0111,-0.0106,0,0,0,-0.0528,0
1758.17,1758,3,-0.0872,-0.0303,-0.0569,-0.03,0.0111,-0.0114,0,0,0,-0.0569,0
1758.25,1758,4,-0.0922,-0.0311,-0.0611,-0.03,0.0111,-0.0122,0,0,0,-0.0611,0
1758.33,1758,5,-0.0972,-0.0319,-0.0652,-0.03,0.0111,-0.013,0,0,0,-0.0652,0
1758.42,1758,6,-0.1022,-0.0328,-0.0694,-0.03,0.0111,-0.0139,0,0,0,-0.0694,0
1758.5,1758,7,-0.1072,-0.0336,-0.0736,-0.03,0.0111,-0.0147,0,0,0,-0.0736,0
1758.58,1758,8,-0.1121,-0.0344,-0.0777,-0.03,0.0111,-0.0155,0,0,0,-0.0777,0
1758.67,1758,9,-0.1171,-0.0353,-0.0819,-0.03,0.0111,-0.0164,0,0,0,-0.0819,0
1758.75,1758,10,-0.1221,-0.0361,-0.086,-0.03,0.0111,-0.0172,0,0,0,-0.086,0
1758.83,1758,11,-0.1271,-0.0369,-0.0902,-0.03,0.0111,-0.018,0,0,0,-0.0902,0
1758.92,1758,12,-0.1321,-0.0378,-0.0943,-0.03,0.0111,-0.0189,0,0,0,-0.0943,0
1759,1759,1,-0.1371,-0.0386,-0.0985,-0.03,0.0111,-0.0197,0,0,0,-0.0985,0
1759.08,1759,2,-0.142,-0.0383,-0.1036,-0.03,0.0117,-0.02,0,0,0,-0.1005,-0.0031
1759.17,1759,3,-0.1469,-0.0374,-0.1095,-0.03,0.0126,-0.02,0,0,0,-0.1014,-0.0081
1759.25,1759,4,-0.1518,-0.0365,-0.1153,-0.03,0.0135,-0.02,0,0,0,-0.1022,-0.0131
1759.33,1759,5,-0.1567,-0.0356,-0.1211,-0.03,0.0144,-0.02,0,0,0,-0.103,-0.0181
1759.42,1759,6,-0.1616,-0.0346,-0.1269,-0.03,0.0154,-0.02,0,0,0,-0.1038,-0.0231
1759.5,1759,7,-0.1664,-0.0337,-0.1328,-0.03,0.0163,-0.02,0,0,0,-0.1047,-0.0281
1759.58,1759,8,-0.1713,-0.0328,-0.1385,-0.03,0.0172,-0.02,0,0,0,-0.1055,-0.033
1759.67,1759,9,-0.1762,-0.0319,-0.1443,-0.03,0.0181,-0.02,0,0,0,-0.1063,-0.038
1759.75,1759,10,-0.1811,-0.0309,-0.1502,-0.03,0.0191,-0.02,0,0,0,-0.1072,-0.043
1759.83,1759,11,-0.186,-0.03,-0.156,-0.03,0.02,-0.02,0,0,0,-0.108,-0.048
1759.92,1759,12,-0.1909,-0.0291,-0.1618,-0.03,0.0209,-0.02,0,0,0,-0.1088,-0.053
1760,1760,1,-0.1958,-0.0282,-0.1677,-0.03,0.0218,-0.02,0,0,0,-0.1097,-0.058
1760.08,1760,2,-0.2438,-0.0278,-0.216,-0.03,0.0222,-0.02,0,0,0,-0.1056,-0.1104
1760.17,1760,3,-0.3219,-0.0278,-0.2941,-0.03,0.0222,-0.02,0,0,0,-0.0981,-0.196
1760.25,1760,4,-0.4,-0.0278,-0.3721,-0.03,0.0222,-0.02,0,0,0,-0.0906,-0.2815
1760.33,1760,5,-0.478,-0.0278,-0.4503,-0.03,0.0222,-0.02,0,0,0,-0.0832,-0.3671
1760.42,1760,6,-0.5561,-0.0278,-0.5283,-0.03,0.0222,-0.02,0,0,0,-0.0757,-0.4526
1760.5,1760,7,-0.6342,-0.0278,-0.6063,-0.03,0.0222,-0.02,0,0,0,-0.0682,-0.5381
1760.58,1760,8,-0.7122,-0.0278,-0.6844,-0.03,0.0222,-0.02,0,0,0,-0.0607,-0.6237
1760.67,1760,9,-0.7903,-0.0278,-0.7625,-0.03,0.0222,-0.02,0,0,0,-0.0533,-0.7092
1760.75,1760,10,-0.8684,-0.0278,-0.8406,-0.03,0.0222,-0.02,0,0,0,-0.0458,-0.7948
1760.83,1760,11,-0.9464,-0.0278,-0.9186,-0.03,0.0222,-0.02,0,0,0,-0.0383,-0.8803
1760.92,1760,12,-1.0245,-0.0278,-0.9966,-0.03,0.0222,-0.02,0,0,0,-0.0308,-0.9658
1761,1761,1,-1.1026,-0.0278,-1.0748,-0.03,0.0222,-0.02,0,0,0,-0.0234,-1.0514
1761.08,1761,2,-1.1009,-0.0273,-1.0735,-0.03,0.0222,-0.02,0.0005,0,0,-0.0195,-1.054
1761.17,1761,3,-1.0336,-0.0265,-1.0071,-0.03,0.0222,-0.02,0.0013,0,0,-0.0187,-0.9884
1761.25,1761,4,-0.9664,-0.0257,-0.9407,-0.03,0.0222,-0.02,0.0021,0,0,-0.0179,-0.9228
1761.33,1761,5,-0.8991,-0.0249,-0.8743,-0.03,0.0222,-0.02,0.0029,0,0,-0.0171,-0.8572
1761.42,1761,6,-0.8318,-0.024,-0.8078,-0.03,0.0222,-0.02,0.0038,0,0,-0.0162,-0.7916
1761.5,1761,7,-0.7646,-0.0232,-0.7414,-0.03,0.0222,-0.02,0.0046,0,0,-0.0154,-0.726
1761.58,1761,8,-0.6973,-0.0224,-0.675,-0.03,0.0222,-0.02,0.0054,0,0,-0.0146,-0.6604
1761.67,1761,9,-0.63,-0.0215,-0.6085,-0.03,0.0222,-0.02,0.0063,0,0,-0.0137,-0.5948
1761.75,1761,10,-0.5627,-0.0207,-0.542,-0.03,0.0222,-0.02,0.0071,0,0,-0.0129,-0.5291
1761.83,1761,11,-0.4955,-0.0199,-0.4756,-0.03,0.0222,-0.02,0.0079,0,0,-0.0121,-0.4635
1761.92,1761,12,-0.4282,-0.019,-0.4091,-0.03,0.0222,-0.02,0.0088,0,0,-0.0112,-0.3979
1762,1762,1,-0.3609,-0.0182,-0.3427,-0.03,0.0222,-0.02,0.0096,0,0,-0.0104,-0.3323
1762.08,1762,2,-0.3198,-0.0182,-0.3015,-0.03,0.0222,-0.02,0.01,0,-0.0004,-0.0104,-0.2911
1762.17,1762,3,-0.304,-0.0191,-0.285,-0.03,0.0222,-0.02,0.01,0,-0.0013,-0.0113,-0.2737
1762.25,1762,4,-0.2882,-0.0199,-0.2684,-0.03,0.0222,-0.02,0.01,0,-0.0021,-0.0121,-0.2563
1762.33,1762,5,-0.2725,-0.0207,-0.2517,-0.03,0.0222,-0.02,0.01,0,-0.0029,-0.0129,-0.2388
1762.42,1762,6,-0.2567,-0.0215,-0.2351,-0.03,0.0222,-0.02,0.01,0,-0.0037,-0.0137,-0.2214
1762.5,1762,7,-0.2409,-0.0224,-0.2185,-0.03,0.0222,-0.02,0.01,0,-0.0046,-0.0146,-0.2039
1762.58,1762,8,-0.2251,-0.0232,-0.2019,-0.03,0.0222,-0.02,0.01,0,-0.0054,-0.0154,-0.1865
1762.67,1762,9,-0.2093,-0.024,-0.1853,-0.03,0.0222,-0.02,0.01,0,-0.0062,-0.0162,-0.1691
1762.75,1762,10,-0.1936,-0.0249,-0.1687,-0.03,0.0222,-0.02,0.01,0,-0.0071,-0.0171,-0.1516
1762.83,1762,11,-0.1778,-0.0257,-0.1521,-0.03,0.0222,-0.02,0.01,0,-0.0079,-0.0179,-0.1342
1762.92,1762,12,-0.162,-0.0265,-0.1354,-0.03,0.0222,-0.02,0.01,0,-0.0087,-0.0187,-0.1167
1763,1763,1,-0.1462,-0.0274,-0.1189,-0.03,0.0222,-0.02,0.01,0,-0.0096,-0.0196,-0.0993
1763.08,1763,2,-0.1355,-0.0282,-0.1073,-0.03,0.0222,-0.0204,0.01,0,-0.01,-0.02,-0.0873
1763.17,1763,3,-0.1305,-0.029,-0.1015,-0.03,0.0222,-0.0212,0.01,0,-0.01,-0.02,-0.0815
1763.25,1763,4,-0.1255,-0.0298,-0.0957,-0.03,0.0222,-0.022,0.01,0,-0.01,-0.02,-0.0757
1763.33,1763,5,-0.1205,-0.0307,-0.0898,-0.03,0.0222,-0.0229,0.01,0,-0.01,-0.02,-0.0698
1763.42,1763,6,-0.1155,-0.0315,-0.084,-0.03,0.0222,-0.0237,0.01,0,-0.01,-0.02,-0.064
1763.5,1763,7,-0.1106,-0.0323,-0.0782,-0.03,0.0222,-0.0245,0.01,0,-0.01,-0.02,-0.0582
1763.58,1763,8,-0.1056,-0.0332,-0.0724,-0.03,0.0222,-0.0254,0.01,0,-0.01,-0.02,-0.0524
1763.67,1763,9,-0.1006,-0.034,-0.0666,-0.03,0.0222,-0.0262,0.01,0,-0.01,-0.02,-0.0466
1763.75,1763,10,-0.0956,-0.0348,-0.0608,-0.03,0.0222,-0.027,0.01,0,-0.01,-0.02,-0.0408
1763.83,1763,11,-0.0906,-0.0357,-0.055,-0.03,0.0222,-0.0279,0.01,0,-0.01,-0.02,-0.035
1763.92,1763,12,-0.0856,-0.0365,-0.0492,-0.03,0.0222,-0.0287,0.01,0,-0.01,-0.02,-0.0292
1764,1764,1,-0.0807,-0.0373,-0.0433,-0.03,0.0222,-0.0295,0.01,0,-0.01,-0.02,-0.0233
1764.08,1764,2,-0.0782,-0.0378,-0.0404,-0.03,0.0222,-0.03,0.01,0,-0.01,-0.0211,-0.0193
1764.17,1764,3,-0.079,-0.0378,-0.0412,-0.03,0.0222,-0.03,0.01,0,-0.01,-0.0236,-0.0176
1764.25,1764,4,-0.0798,-0.0378,-0.042,-0.03,0.0222,-0.03,0.01,0,-0.01,-0.026,-0.016
1764.33,1764,5,-0.0806,-0.0378,-0.0428,-0.03,0.0222,-0.03,0.01,0,-0.01,-0.0285,-0.0143
1764.42,1764,6,-0.0815,-0.0378,-0.0436,-0.03,0.0222,-0.03,0.01,0,-0.01,-0.031,-0.0126
1764.5,1764,7,-0.0823,-0.0378,-0.0445,-0.03,0.0222,-0.03,0.01,0,-0.01,-0.0335,-0.011
1764.58,1764,8,-0.0831,-0.0378,-0.0453,-0.03,0.0222,-0.03,0.01,0,-0.01,-0.036,-0.0093
1764.67,1764,9,-0.084,-0.0378,-0.0462,-0.03,0.0222,-0.03,0.01,0,-0.01,-0.0385,-0.0077
1764.75,1764,10,-0.0848,-0.0378,-0.047,-0.03,0.0222,-0.03,0.01,0,-0.01,-0.041,-0.006
1764.83,1764,11,-0.0856,-0.0378,-0.0478,-0.03,0.0222,-0.03,0.01,0,-0.01,-0.0435,-0.0043
1764.92,1764,12,-0.0865,-0.0378,-0.0487,-0.03,0.0222,-0.03,0.01,0,-0.01,-0.046,-0.0027
1765,1765,1,-0.0873,-0.0378,-0.0495,-0.03,0.0222,-0.03,0.01,0,-0.01,-0.0485,-0.001
1765.08,1765,2,-0.0875,-0.0375,-0.05,-0.0297,0.0222,-0.03,0.01,0,-0.01,-0.05,0
1765.17,1765,3,-0.0867,-0.0367,-0.05,-0.0289,0.0222,-0.03,0.01,0,-0.01,-0.05,0
1765.25,1765,4,-0.0858,-0.0358,-0.05,-0.028,0.0222,-0.03,0.01,0,-0.01,-0.05,0
1765.33,1765,5,-0.085,-0.035,-0.05,-0.0272,0.0222,-0.03,0.01,0,-0.01,-0.05,0
1765.42,1765,6,-0.0842,-0.0342,-0.05,-0.0264,0.0222,-0.03,0.01,0,-0.01,-0.05,0
1765.5,1765,7,-0.0833,-0.0333,-0.05,-0.0255,0.0222,-0.03,0.01,0,-0.01,-0.05,0
1765.58,1765,8,-0.0825,-0.0325,-0.05,-0.0247,0.0222,-0.03,0.01,0,-0.01,-0.05,0
1765.67,1765,9,-0.0817,-0.0317,-0.05,-0.0239,0.0222,-0.03,0.01,0,-0.01,-0.05,0
1765.75,1765,10,-0.0808,-0.0308,-0.05,-0.023,0.0222,-0.03,0.01,0,-0.01,-0.05,0
1765.83,1765,11,-0.08,-0.03,-0.05,-0.0222,0.0222,-0.03,0.01,0,-0.01,-0.05,0
1765.92,1765,12,-0.0792,-0.0292,-0.05,-0.0214,0.0222,-0.03,0.01,0,-0.01,-0.05,0
1766,1766,1,-0.0783,-0.0283,-0.05,-0.0205,0.0222,-0.03,0.01,0,-0.01,-0.05,0
1766.08,1766,2,-0.0775,-0.0278,-0.0497,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0497,0
1766.17,1766,3,-0.0767,-0.0278,-0.0489,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0489,0
1766.25,1766,4,-0.0759,-0.0278,-0.0481,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0481,0
1766.33,1766,5,-0.075,-0.0278,-0.0472,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0472,0
1766.42,1766,6,-0.0742,-0.0278,-0.0464,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0464,0
1766.5,1766,7,-0.0734,-0.0278,-0.0456,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0456,0
1766.58,1766,8,-0.0725,-0.0278,-0.0447,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0447,0
1766.67,1766,9,-0.0717,-0.0278,-0.0439,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0439,0
1766.75,1766,10,-0.0709,-0.0278,-0.0431,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0431,0
1766.83,1766,11,-0.07,-0.0278,-0.0422,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0422,0
1766.92,1766,12,-0.0692,-0.0278,-0.0414,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0414,0
1767,1767,1,-0.0684,-0.0278,-0.0406,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0406,0
1767.08,1767,2,-0.0663,-0.0278,-0.0385,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0385,0
1767.17,1767,3,-0.0613,-0.0278,-0.0335,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0335,0
1767.25,1767,4,-0.0563,-0.0278,-0.0285,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0285,0
1767.33,1767,5,-0.0513,-0.0278,-0.0235,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0235,0
1767.42,1767,6,-0.0464,-0.0278,-0.0186,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0186,0
1767.5,1767,7,-0.0414,-0.0278,-0.0136,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0136,0
1767.58,1767,8,-0.0364,-0.0278,-0.0086,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0086,0
1767.67,1767,9,-0.0314,-0.0278,-0.0036,-0.02,0.0222,-0.03,0.01,0,-0.01,-0.0036,0
1767.75,1767,10,-0.0264,-0.0278,0.0014,-0.02,0.0222,-0.03,0.01,0,-0.01,0.0014,0
1767.83,1767,11,-0.0214,-0.0278,0.0064,-0.02,0.0222,-0.03,0.01,0,-0.01,0.0064,0
1767.92,1767,12,-0.0165,-0.0278,0.0113,-0.02,0.0222,-0.03,0.01,0,-0.01,0.0113,0
1768,1768,1,-0.0115,-0.0278,0.0163,-0.02,0.0222,-0.03,0.01,0,-0.01,0.0163,0
1768.08,1768,2,-0.0071,-0.0278,0.0207,-0.02,0.0222,-0.03,0.01,0,-0.01,0.0207,0
1768.17,1768,3,-0.0047,-0.0278,0.0231,-0.02,0.0222,-0.03,0.01,0,-0.01,0.0231,0
1768.25,1768,4,-0.0022,-0.0278,0.0256,-0.02,0.0222,-0.03,0.01,0,-0.01,0.0256,0
1768.33,1768,5,0.0003,-0.0278,0.0281,-0.02,0.0222,-0.03,0.01,0,-0.01,0.0281,0
1768.42,1768,6,0.0028,-0.0278,0.0306,-0.02,0.0222,-0.03,0.01,0,-0.01,0.0306,0
1768.5,1768,7,0.0053,-0.0278,0.0331,-0.02,0.0222,-0.03,0.01,0,-0.01,0.0331,0
1768.58,1768,8,0.0078,-0.0278,0.0356,-0.02,0.0222,-0.03,0.01,0,-0.01,0.0356,0
1768.67,1768,9,0.0103,-0.0278,0.0381,-0.02,0.0222,-0.03,0.01,0,-0.01,0.0381,0
1768.75,1768,10,0.0128,-0.0278,0.0406,-0.02,0.0222,-0.03,0.01,0,-0.01,0.0406,0
1768.83,1768,11,0.0153,-0.0278,0.0431,-0.02,0.0222,-0.03,0.01,0,-0.01,0.0431,0
1768.92,1768,12,0.0178,-0.0278,0.0456,-0.02,0.0222,-0.03,0.01,0,-0.01,0.0456,0
1769,1769,1,0.0203,-0.0278,0.0481,-0.02,0.0222,-0.03,0.01,0,-0.01,0.0481,0
1769.08,1769,2,0.0227,-0.0278,0.0505,-0.0198,0.0222,-0.0302,0.01,0,-0.01,0.0505,0
1769.17,1769,3,0.0252,-0.0278,0.053,-0.019,0.0222,-0.031,0.01,0,-0.01,0.053,0
1769.25,1769,4,0.0277,-0.0278,0.0555,-0.0182,0.0222,-0.0318,0.01,0,-0.01,0.0555,0
1769.33,1769,5,0.0302,-0.0278,0.058,-0.0173,0.0222,-0.0327,0.01,0,-0.01,0.058,0
1769.42,1769,6,0.0327,-0.0278,0.0605,-0.0165,0.0222,-0.0335,0.01,0,-0.01,0.0605,0
